Wavelength[nm],Throughput
320.0,0.0
321.0,0.0
322.0,0.0
323.0,0.0
324.0,0.0
325.0,0.0
326.0,0.0
327.0,0.0
328.0,0.0
329.0,0.0
330.0,0.0
331.0,0.0
332.0,0.0
333.0,0.0
334.0,0.0
335.0,0.0
336.0,0.0
337.0,0.0
338.0,0.0
339.0,0.0
340.0,0.0
341.0,0.0
342.0,0.0
343.0,0.0
344.0,0.0
345.0,0.0
346.0,0.0
347.0,0.0
348.0,0.0
349.0,0.0
350.0,0.0
351.0,0.0
352.0,0.0
353.0,0.0
354.0,0.0
355.0,0.0
356.0,0.0
357.0,0.0
358.0,0.0
359.0,0.0
360.0,0.0
361.0,0.0
362.0,0.0
363.0,0.0
364.0,0.0
365.0,0.0
366.0,0.0
367.0,0.0
368.0,0.0
369.0,0.0
370.0,0.0
371.0,0.0
372.0,0.0
373.0,0.0
374.0,0.0
375.0,0.0
376.0,0.0
377.0,0.0
378.0,0.0
379.0,0.0
380.0,0.0
381.0,0.0
382.0,0.0
383.0,0.0
384.0,0.0
385.0,0.0
386.0,0.0
387.0,0.0
388.0,0.0
389.0,0.0
390.0,0.0
391.0,0.0
392.0,0.0
393.0,0.0
394.0,0.0
395.0,0.0
396.0,0.0
397.0,0.0
398.0,0.0
399.0,0.0
400.0,0.0
401.0,0.0
402.0,0.0
403.0,0.0
404.0,0.0
405.0,0.0
406.0,0.0
407.0,0.0
408.0,0.0
409.0,0.0
410.0,0.0
411.0,0.0
412.0,0.0
413.0,0.0
414.0,0.0
415.0,0.0
416.0,0.0
417.0,0.0
418.0,0.0
419.0,0.0
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,0.0
425.0,0.0
426.0,0.0
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,0.0
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.0
441.0,0.0
442.0,0.0
443.0,0.0
444.0,0.0
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
513.0,0.0
514.0,0.0
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
520.0,0.0
521.0,0.0
522.0,0.0
523.0,0.0
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.0
529.0,0.0
530.0,0.0
531.0,0.0
532.0,0.0
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.0
540.0,0.0
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,0.0
546.0,0.0
547.0,0.0
548.0,0.0
549.0,0.0
550.0,0.0
551.0,0.0
552.0,0.0
553.0,0.0
554.0,0.0
555.0,0.0
556.0,0.0
557.0,0.0
558.0,0.0
559.0,0.0
560.0,0.0
561.0,0.0
562.0,0.0
563.0,0.0
564.0,0.0
565.0,0.0
566.0,0.0
567.0,0.0
568.0,0.0
569.0,0.0
570.0,0.0
571.0,0.0
572.0,0.0
573.0,0.0
574.0,0.0
575.0,0.0
576.0,0.0
577.0,0.0
578.0,0.0
579.0,0.0
580.0,0.0
581.0,0.0
582.0,0.0
583.0,0.0
584.0,0.0
585.0,0.0
586.0,0.0
587.0,0.0
588.0,0.0
589.0,0.0
590.0,0.0
591.0,0.0
592.0,0.0
593.0,0.0
594.0,0.0
595.0,0.0
596.0,0.0
597.0,0.0
598.0,0.0
599.0,0.0
600.0,0.0
601.0,0.0
602.0,0.0
603.0,0.0
604.0,0.0
605.0,0.0
606.0,0.0
607.0,0.0
608.0,0.0
609.0,0.0
610.0,0.0
611.0,0.0
612.0,0.0
613.0,0.0
614.0,0.0
615.0,0.0
616.0,0.0
617.0,0.0
618.0,0.0
619.0,0.0
620.0,0.0
621.0,0.0
622.0,0.0
623.0,0.0
624.0,0.0
625.0,0.0
626.0,0.0
627.0,0.0
628.0,0.0
629.0,0.0
630.0,0.0
631.0,0.0
632.0,0.0
633.0,0.0
634.0,0.0
635.0,0.0
636.0,0.0
637.0,0.0
638.0,0.0
639.0,0.0
640.0,0.0
641.0,0.0
642.0,0.0
643.0,0.0
644.0,0.0
645.0,0.0
646.0,0.0
647.0,0.0
648.0,0.0
649.0,0.0
650.0,0.0
651.0,0.0
652.0,0.0
653.0,0.0
654.0,0.0
655.0,9.933280430483123e-08
656.0,1.1263073758318209e-07
657.0,1.2516562175634902e-07
658.0,1.3765930809756968e-07
659.0,1.5091456712114894e-07
660.0,1.662463945893274e-07
661.0,1.8393280378232726e-07
662.0,2.058705559182558e-07
663.0,2.344922452269479e-07
664.0,2.740278364151367e-07
665.0,3.3075840317701137e-07
666.0,4.1236474671655925e-07
667.0,5.325990994023723e-07
668.0,7.152624407726889e-07
669.0,9.962248203850016e-07
670.0,1.4279617848565072e-06
671.0,2.068623679648106e-06
672.0,2.8803354133949696e-06
673.0,3.6458125776751226e-06
674.0,4.131241637006448e-06
675.0,4.3534099680852025e-06
676.0,4.551765264495017e-06
677.0,4.942029020973247e-06
678.0,5.524624023279614e-06
679.0,6.126102653029211e-06
680.0,6.664999391618532e-06
681.0,7.23919748683286e-06
682.0,7.943005416218176e-06
683.0,8.78837199938411e-06
684.0,9.711768114152048e-06
685.0,1.0740183193497861e-05
686.0,1.2003412406901445e-05
687.0,1.3484890018405163e-05
688.0,1.5078920497249594e-05
689.0,1.6659365599980538e-05
690.0,1.7949615090232976e-05
691.0,1.879097400880589e-05
692.0,1.9262724219689836e-05
693.0,1.9617596922823022e-05
694.0,2.0047336180843003e-05
695.0,2.0747002788515092e-05
696.0,2.1766295312604094e-05
697.0,2.305637398793548e-05
698.0,2.456932902051757e-05
699.0,2.6041298858519946e-05
700.0,2.7262440471828517e-05
701.0,2.814379558524078e-05
702.0,2.8537105977467685e-05
703.0,2.8518903556215868e-05
704.0,2.837956895646215e-05
705.0,2.8191541540741905e-05
706.0,2.806101360482517e-05
707.0,2.8139151718368025e-05
708.0,2.8309990778160218e-05
709.0,2.8525473853632953e-05
710.0,2.8814701651751856e-05
711.0,2.902334303385923e-05
712.0,2.9125280172941064e-05
713.0,2.9200768237895623e-05
714.0,2.9155104181556297e-05
715.0,2.9084986167031565e-05
716.0,2.9030590324730818e-05
717.0,2.8963916939631873e-05
718.0,2.887502552800687e-05
719.0,2.8922220843217207e-05
720.0,2.8930225555542464e-05
721.0,2.896140398112042e-05
722.0,2.9058662417518325e-05
723.0,2.910880558378127e-05
724.0,2.9113970922674996e-05
725.0,2.916493985218555e-05
726.0,2.9167522260629014e-05
727.0,2.914413671692509e-05
728.0,2.9138177049248697e-05
729.0,2.9098424133115624e-05
730.0,2.9064540958134114e-05
731.0,2.9085420578619037e-05
732.0,2.9099079624463134e-05
733.0,2.9119547698336645e-05
734.0,2.915163722619439e-05
735.0,2.9165598168688917e-05
736.0,2.9156396502024715e-05
737.0,2.921291217204029e-05
738.0,2.9252295376098455e-05
739.0,2.9273010098576908e-05
740.0,2.9338606764456976e-05
741.0,2.936732899680062e-05
742.0,2.935715943153276e-05
743.0,2.9386608631362285e-05
744.0,2.9360021966648058e-05
745.0,2.932924157061169e-05
746.0,2.933052265395656e-05
747.0,2.9282497641252826e-05
748.0,2.919759881854704e-05
749.0,2.9170468253916707e-05
750.0,2.912834855153549e-05
751.0,2.908167707429422e-05
752.0,2.906253614442504e-05
753.0,2.9049338802371313e-05
754.0,2.9041560846738214e-05
755.0,2.910644133931573e-05
756.0,2.915308002376863e-05
757.0,2.918412782458186e-05
758.0,2.9249379371045257e-05
759.0,2.9290034179095314e-05
760.0,2.9259018213295786e-05
761.0,2.924026123952071e-05
762.0,2.9202152632922857e-05
763.0,2.911742644779901e-05
764.0,2.9079272080310678e-05
765.0,2.8985885725868844e-05
766.0,2.888552581431088e-05
767.0,2.8846551657629077e-05
768.0,2.8789317502226884e-05
769.0,2.872834148037889e-05
770.0,2.8721428758632858e-05
771.0,2.8721925977103878e-05
772.0,2.8717261903873365e-05
773.0,2.8750776853854995e-05
774.0,2.8779655664981062e-05
775.0,2.8784562251648374e-05
776.0,2.881267540774212e-05
777.0,2.881151688704591e-05
778.0,2.8796087899673268e-05
