wavelength,responsivity,uncertainty
300,0.1257,0.66
305,0.1301,0.64
310,0.133,0.64
315,0.1357,0.62
320,0.1378,0.6
325,0.1396,0.6
330,0.1409,0.58
335,0.1426,0.58
340,0.1438,0.58
345,0.1446,0.56
350,0.1446,0.56
355,0.1432,0.54
360,0.1411,0.44
365,0.1402,0.38
370,0.1416,0.36
375,0.1463,0.36
380,0.1529,0.34
385,0.1598,0.34
390,0.1661,0.32
395,0.1719,0.32
400,0.1773,0.3
405,0.1823,0.3
410,0.187,0.28
415,0.1915,0.28
420,0.1958,0.28
425,0.2,0.26
430,0.2039,0.26
435,0.2078,0.24
440,0.2116,0.24
445,0.2153,0.22
450,0.2189,0.22
455,0.2225,0.2
460,0.2259,0.19
465,0.2292,0.18
470,0.2326,0.18
475,0.2362,0.17
480,0.2395,0.16
485,0.2428,0.15
490,0.246,0.14
495,0.2491,0.13
500,0.2523,0.13
505,0.2555,0.12
510,0.2586,0.11
515,0.2617,0.1
520,0.2648,0.098
525,0.2678,0.092
530,0.2709,0.086
535,0.2739,0.082
540,0.2769,0.08
545,0.2799,0.076
550,0.2829,0.076
555,0.2859,0.076
560,0.2888,0.076
565,0.2917,0.076
570,0.2947,0.076
575,0.2977,0.076
580,0.3006,0.074
585,0.3035,0.076
590,0.3064,0.074
595,0.3093,0.074
600,0.3121,0.074
605,0.315,0.074
610,0.3179,0.074
615,0.3207,0.074
620,0.3235,0.074
625,0.3264,0.074
630,0.3292,0.072
635,0.3321,0.072
640,0.3349,0.072
645,0.3377,0.072
650,0.3406,0.072
655,0.3435,0.072
660,0.3464,0.072
665,0.3491,0.072
670,0.352,0.072
675,0.3548,0.074
680,0.3576,0.072
685,0.3604,0.072
690,0.3632,0.072
695,0.366,0.072
700,0.3688,0.072
705,0.3716,0.072
710,0.3744,0.072
715,0.3771,0.072
720,0.3799,0.072
725,0.3827,0.072
730,0.3855,0.072
735,0.3883,0.072
740,0.3911,0.072
745,0.3938,0.072
750,0.3965,0.072
755,0.3993,0.074
760,0.4021,0.072
765,0.4048,0.072
770,0.4075,0.072
775,0.4103,0.072
780,0.4131,0.072
785,0.4158,0.072
790,0.4186,0.072
795,0.4213,0.072
800,0.424,0.074
805,0.4267,0.072
810,0.4295,0.072
815,0.4322,0.072
820,0.4349,0.072
825,0.4377,0.07
830,0.4404,0.07
835,0.4432,0.07
840,0.4459,0.07
845,0.4487,0.07
850,0.4514,0.07
855,0.4541,0.07
860,0.4569,0.072
865,0.4595,0.072
870,0.4623,0.072
875,0.4649,0.07
880,0.4676,0.072
885,0.4704,0.072
890,0.4731,0.074
895,0.4759,0.072
900,0.4786,0.074
905,0.4813,0.078
910,0.4841,0.076
915,0.4868,0.08
920,0.4894,0.092
925,0.492,0.098
930,0.4945,0.11
935,0.4968,0.096
940,0.499,0.1
945,0.5009,0.11
950,0.5027,0.11
955,0.5038,0.12
960,0.5044,0.12
965,0.5044,0.15
970,0.5033,0.16
975,0.5014,0.19
980,0.4981,0.22
985,0.4935,0.24
990,0.4874,0.28
995,0.4796,0.3
1000,0.4705,0.3
1005,0.4599,0.3
1010,0.4457,0.3
1015,0.429,0.32
1020,0.4101,0.3
1025,0.3883,0.32
1030,0.364,0.3
1035,0.338,0.32
1040,0.3106,0.32
1045,0.2819,0.32
1050,0.2532,0.32
1055,0.2253,0.34
1060,0.1965,0.32
1065,0.1724,0.3
1070,0.1546,0.32
1075,0.1386,0.32
1080,0.1242,0.32
1085,0.1108,0.32
1090,0.0985,0.3
1095,0.0873,0.32
1100,0.0772,0.32
